Name,Position,Age,OVR,Speed,Fatigue,PassAccuracy,Acceleration,Strength,Reactions
Kylian Mbappé,ST,25,91,97,88,86,97,77,93
Rodri,CDM,28,91,66,91,93,65,83,93
Erling Haaland,ST,24,91,94,76,77,80,93,94
Jude Bellingham,CAM,21,90,80,93,89,81,77,91
Vini Jr.,LW,24,90,95,84,83,95,65,86
Kevin De Bruyne,CM,33,90,67,88,94,67,75,92
Harry Kane,ST,31,90,66,75,86,64,86,94
Martin Ødegaard,CM,25,89,69,88,91,72,56,91
Lautaro Martínez,ST,27,89,80,83,79,84,85,92
Virgil van Dijk,CB,33,89,87,72,80,66,93,88
Mohamed Salah,RW,32,89,89,87,86,89,73,93
Phil Foden,RW,24,88,83,83,88,89,53,85
Lionel Messi,RW,37,88,73,70,87,86,68,85
Antoine Griezmann,ST,33,88,80,86,89,81,69,90
Rúben Dias,CB,27,88,68,78,85,65,90,89
Robert Lewandowski,ST,36,88,75,76,84,76,89,89
Federico Valverde,CM,26,88,91,92,87,84,82,89
Bernardo Silva,CM,30,88,69,93,91,83,54,89
Antonio Rüdiger,CB,31,88,91,70,84,71,91,86
Florian Wirtz,CAM,21,88,81,87,91,81,59,88
William Saliba,CB,23,87,86,72,84,77,87,86
Victor Osimhen,ST,25,87,92,81,72,85,86,89
Jamal Musiala,CAM,21,87,83,78,84,86,59,87
Bukayo Saka,RW,23,87,83,86,83,88,63,85
Paulo Dybala,CAM,30,87,76,74,84,84,67,84
Theo Hernández,LB,26,87,95,92,81,95,88,85
Neymar Jr,LW,32,87,84,73,85,86,52,78
Declan Rice,CDM,25,87,75,92,85,71,81,85
Frenkie de Jong,CM,27,87,83,89,91,80,74,88
Bruno Fernandes,CAM,30,87,68,95,89,72,61,90
Heung Min Son,ST,32,87,88,88,83,86,69,90
Marquinhos,CB,30,87,81,83,84,76,79,86
Alessandro Bastoni,CB,25,87,78,81,80,72,83,87
İlkay Gündoğan,CM,33,87,60,75,89,65,73,86
Nicolò Barella,CM,27,87,78,93,88,85,74,90
Cristiano Ronaldo,ST,39,86,80,80,79,73,79,87
Gabriel,CB,26,86,76,71,80,61,86,85
Granit Xhaka,CDM,31,86,52,83,89,48,78,86
Rodrygo,RW,23,86,88,81,80,90,59,84
João Cancelo,LB,30,86,77,88,87,86,62,84
Rafael Leão,LW,25,86,94,75,83,94,83,84
Grimaldo,LM,28,86,71,90,87,77,63,86
Luka Modrić,CM,39,86,69,76,90,75,58,85
Alexis Mac Allister,CM,25,86,67,87,87,71,69,85
Carvajal,RB,32,86,81,84,84,82,74,85
Ousmane Dembélé,RW,27,86,91,69,83,94,52,82
Trent Alexander-Arnold,RB,25,86,78,89,89,72,68,85
Pedri,CM,21,86,76,87,88,79,73,87
Jonathan Tah,CB,28,86,86,69,78,53,92,84
Karim Benzema,ST,36,86,77,80,86,76,81,84
Bremer,CB,27,86,86,75,75,78,89,79
Joshua Kimmich,RB,29,86,62,88,88,77,68,88
Hakan Çalhanoğlu,CDM,30,86,68,81,89,74,72,86
David Alaba,CB,32,85,79,73,88,78,78,88
Ronald Araujo,CB,25,85,86,72,75,76,87,84
Julian Brandt,CAM,28,85,72,85,87,69,72,86
Éder Militão,CB,26,85,88,85,78,81,79,84
Bruno Guimarães,CDM,26,85,68,88,87,69,79,84
Alexander Isak,ST,24,85,87,78,78,83,77,85
N'Golo Kanté,CDM,33,85,74,82,80,79,72,87
Jules Koundé,RB,25,85,83,78,82,85,80,86
Khvicha Kvaratskhelia,LW,23,85,86,77,83,85,70,84
Vitinha,CM,24,85,69,81,88,75,59,85
James Maddison,CAM,27,85,66,78,86,77,53,80
Riyad Mahrez,RM,33,85,76,79,83,83,58,82
Mikel Merino,CM,28,85,72,83,86,72,80,86
Sergej Milinković-Savić,CM,29,85,66,92,86,62,90,83
Loïs Openda,ST,24,85,92,79,75,94,80,84
Palhinha,CDM,29,85,50,87,79,54,90,79
Cole Palmer,RM,22,85,77,78,86,73,61,84
Andrew Robertson,LB,30,85,78,93,83,79,67,85
Leroy Sané,RM,28,85,91,78,82,89,67,83
Nico Schlotterbeck,CB,24,85,76,74,78,78,84,83
John Stones,CB,30,85,69,74,85,68,77,87
Aurélien Tchouaméni,CDM,24,85,72,83,85,74,82,83
Diogo Jota,ST,27,85,80,80,77,85,75,88
Sandro Tonali,CDM,24,85,86,80,85,81,82,83
Ollie Watkins,ST,28,85,89,88,79,79,82,85
Nico Williams,LM,22,85,93,81,82,94,60,80
Francesco Acerbi,CB,36,84,59,68,76,61,85,83
Manuel Akanji,CB,29,84,80,71,83,76,86,86
Nathan Aké,CB,29,84,75,71,81,77,78,84
Julián Álvarez,ST,24,84,85,85,80,86,70,86
Iago Aspas,ST,37,84,83,69,79,78,61,86
Federico Chiesa,RW,26,84,93,84,78,92,70,84
Kingsley Coman,LM,28,84,87,68,80,92,66,84
Rúben Neves,CDM,27,84,55,80,88,59,74,82
Matthijs de Ligt,CB,25,84,68,64,77,54,91,84
Rodrigo De Paul,CM,30,84,76,92,85,77,78,81
Raphinha,RW,27,84,91,86,78,90,65,84
Luis Díaz,LW,27,84,90,87,76,91,69,83
Federico Dimarco,LB,26,84,78,85,85,83,78,83
Artem Dovbyk,ST,27,84,86,75,80,81,86,80
Jeremie Frimpong,RM,23,84,91,85,78,96,58,84
Aleix García,CM,27,84,66,78,86,68,65,82
Jack Grealish,LW,29,84,75,83,84,78,71,82
Serhou Guirassy,ST,28,84,71,71,81,66,85,85
Viktor Gyökeres,ST,26,84,92,93,73,88,91,84
Achraf Hakimi,RB,25,84,93,92,82,89,72,82
Kalidou Koulibaly,CB,33,84,85,74,73,66,90,85
Sadio Mané,LM,32,84,83,79,83,82,72,85
Lisandro Martínez,CB,26,84,68,75,83,74,79,84
Ferland Mendy,LB,29,84,89,89,80,88,84,81
Christopher Nkunku,CAM,26,84,81,75,83,82,67,81
Dani Olmo,CAM,26,84,69,66,86,78,54,86
Exequiel Palacios,CM,25,84,68,78,85,71,67,84
Benjamin Pavard,CB,28,84,76,84,80,74,80,86
Cristian Romero,CB,26,84,68,71,75,67,83,85
Marcel Sabitzer,CM,30,84,74,85,84,78,76,86
Casemiro,CDM,32,84,40,73,83,35,84,83
Dušan Vlahović,ST,24,84,79,77,75,76,87,86
Kyle Walker,RB,34,84,93,81,81,84,80,85
Benjamin White,RB,26,84,75,83,84,70,78,84
Marcos Acuña,LB,32,83,74,90,82,75,82,84
Robert Andrich,CDM,29,83,50,77,80,59,84,83
Ismaël Bennacer,CDM,26,83,74,78,85,81,69,83
Domenico Berardi,RW,30,83,79,76,80,80,61,84
Eduardo Camavinga,CM,21,83,80,84,86,81,79,82
Yannick Carrasco,LW,31,83,88,76,80,87,63,80
Andreas Christensen,CB,28,83,76,73,83,56,78,84
Stefan de Vrij,CB,32,83,61,67,75,63,78,83
Ángel Di María,RM,36,83,74,69,86,78,61,77
Moussa Diaby,RM,25,83,95,82,76,95,34,80
Youssef En-Nesyri,ST,27,83,84,83,77,80,79,82
Rafa,CAM,31,83,93,84,77,94,40,84
Cody Gakpo,ST,25,83,81,76,79,84,78,81
José María Giménez,CB,29,83,71,71,71,70,85,78
Olivier Giroud,ST,37,83,48,61,83,42,93,86
Leon Goretzka,CM,29,83,68,78,83,73,89,85
Joško Gvardiol,LB,22,83,79,79,80,80,83,84
Kai Havertz,ST,25,83,79,77,84,74,75,84
Lucas Hernández,CB,28,83,78,66,78,70,78,85
Mauro Icardi,ST,31,83,69,71,79,66,79,84
Kim Min Jae,CB,27,83,78,76,75,74,86,82
Ibrahima Konaté,CB,25,83,80,71,76,69,90,81
Teun Koopmeiners,CM,26,83,67,87,86,64,75,84
Mateo Kovačić,CM,30,83,64,75,89,75,66,84
Konrad Laimer,CDM,27,83,79,81,81,82,71,84
Aymeric Laporte,CB,30,83,59,68,86,50,82,83
Robin Le Normand,CB,27,83,66,70,80,58,86,83
Marcos Llorente,RM,29,83,91,91,81,87,77,81
Manuel Locatelli,CDM,26,83,67,90,85,61,76,80
Donyell Malen,RM,25,83,86,77,79,93,72,82
Gabriel Martinelli,LW,23,83,88,82,78,91,63,82
Henrikh Mkhitaryan,CM,35,83,77,85,85,80,72,83
Morata,ST,31,83,83,79,77,81,81,84
Gerard Moreno,ST,32,83,77,77,79,77,73,82
Willi Orban,CB,31,83,65,58,74,50,85,82
Gavi,CM,20,83,75,84,84,77,58,86
Parejo,CM,35,83,51,71,89,53,70,75
Lorenzo Pellegrini,CAM,28,83,79,87,88,79,74,85
Pedro Gonçalves,LW,26,83,76,84,85,80,62,84
Pedro Porro,RB,25,83,84,91,80,80,71,81
Christian Pulisic,RW,25,83,85,76,80,91,54,84
Koke,CDM,32,83,68,85,85,70,75,82
Guido Rodríguez,CDM,29,83,47,76,82,55,80,80
Alessio Romagnoli,CB,29,83,64,68,75,65,83,82
Xavi Simons,CAM,21,83,77,83,84,86,63,84
Douglas Luiz,CM,26,83,64,80,87,69,74,79
Dušan Tadić,LM,35,83,63,84,85,65,80,82
Edmond Tapsoba,CB,25,83,76,69,82,73,83,81
Nuno Mendes,LB,22,83,88,81,79,91,73,81
Marcus Thuram,ST,27,83,89,83,80,84,88,85
Fikayo Tomori,CB,26,83,87,71,75,81,81,84
Lucas Torreira,CDM,28,83,73,92,83,80,73,84
Kieran Trippier,RB,33,83,64,85,82,71,64,83
Leandro Trossard,LW,29,83,77,76,82,87,57,80
Viktor Tsygankov,RM,26,83,85,77,82,85,53,80
Mattia Zaccagni,LW,29,83,85,75,78,90,63,83
Duván Zapata,ST,33,83,71,78,74,75,95,78
Isco,CAM,32,82,65,67,84,68,55,78
Joelinton,CM,28,82,81,88,83,70,90,85
Pepê,CAM,27,82,87,89,78,86,52,82
Pierre-Emerick Aubameyang,ST,35,82,87,62,74,80,70,83
Leon Bailey,RM,27,82,87,68,78,93,61,80
Victor Boniface,ST,23,82,75,67,75,70,90,78
Sven Botman,CB,24,82,69,70,78,49,90,81
Jarrod Bowen,RM,27,82,76,83,78,79,66,83
Marcelo Brozović,CDM,31,82,65,93,82,68,71,75
Moisés Caicedo,CDM,22,82,73,84,84,77,72,80
Emre Can,CDM,30,82,86,80,81,67,86,79
Lucas Paquetá,LM,27,82,73,82,82,71,77,81
Ángel Correa,ST,29,82,85,84,80,86,68,82
Marc Cucurella,LB,26,82,73,88,83,78,67,81
Danilo,CB,33,82,80,69,78,70,80,80
Otávio,CAM,29,82,76,86,83,81,62,84
Diogo Dalot,RB,25,82,86,83,79,84,75,80
Sergi Darder,CM,30,82,79,84,85,78,75,80
Alphonso Davies,LB,23,82,95,80,82,96,75,83
Giovanni Di Lorenzo,RB,31,82,84,87,76,82,77,78
Brahim,CAM,25,82,85,68,83,85,55,79
Denzel Dumfries,RB,28,82,87,89,78,77,89,81
Edin Džeko,ST,38,82,60,68,79,53,84,83
Enzo Fernández,CM,23,82,68,82,87,70,73,80
Nacho Fernández,CB,34,82,77,79,82,69,79,81
Gabriel Jesus,ST,27,82,81,81,81,86,72,88
Jorginho,CDM,32,82,39,79,88,54,66,82
Pau Torres,CB,27,82,73,78,84,66,78,80
